ds;y;x
2019-01-01 00:00;2286.0;-19
2019-01-01 01:00;2297.0;-20
2019-01-01 02:00;2300.0;-20
2019-01-01 03:00;2342.0;-21
2019-01-01 04:00;2271.0;-21
2019-01-01 05:00;2271.0;-21
2019-01-01 06:00;2340.0;-21
2019-01-01 07:00;2287.0;-22
2019-01-01 08:00;2351.0;-22
2019-01-01 09:00;2275.0;-22
2019-01-01 10:00;2348.0;-21
2019-01-01 11:00;2344.0;-20
2019-01-01 12:00;2341.0;-19
2019-01-01 13:00;2262.0;-18
2019-01-01 14:00;2278.0;-18
2019-01-01 15:00;2257.0;-18
2019-01-01 16:00;2369.0;-18
2019-01-01 17:00;2369.0;-19
2019-01-01 18:00;2339.0;-20
2019-01-01 19:00;2392.0;-20
2019-01-01 20:00;2344.0;-20
2019-01-01 21:00;2330.0;-20
2019-01-01 22:00;2439.0;-20
2019-01-01 23:00;2344.0;-20
2019-01-02 00:00;2392.0;-20
2019-01-02 01:00;2332.0;-21
2019-01-02 02:00;2323.0;-21
2019-01-02 03:00;2343.0;-21
2019-01-02 04:00;2425.0;-21
2019-01-02 05:00;2360.0;-21
2019-01-02 06:00;2416.0;-21
2019-01-02 07:00;2272.0;-21
2019-01-02 08:00;2416.0;-21
2019-01-02 09:00;2361.0;-21
2019-01-02 10:00;2391.0;-20
2019-01-02 11:00;2435.0;-19
2019-01-02 12:00;2414.0;-18
2019-01-02 13:00;2274.0;-18
2019-01-02 14:00;2346.0;-17
2019-01-02 15:00;2285.0;-17
2019-01-02 16:00;2324.0;-18
2019-01-02 17:00;2350.0;-19
2019-01-02 18:00;2328.0;-20
2019-01-02 19:00;2327.0;-21
2019-01-02 20:00;2389.0;-21
2019-01-02 21:00;2333.0;-22
2019-01-02 22:00;2341.0;-22
2019-01-02 23:00;2337.0;-22
2019-01-03 00:00;2363.0;-22
2019-01-03 01:00;2355.0;-22
2019-01-03 02:00;2317.0;-23
2019-01-03 03:00;2353.0;-23
2019-01-03 04:00;2361.0;-23
2019-01-03 05:00;2302.0;-23
2019-01-03 06:00;2435.0;-23
2019-01-03 07:00;2298.0;-23
2019-01-03 08:00;2405.0;-23
2019-01-03 09:00;2425.0;-24
2019-01-03 10:00;2461.0;-23
2019-01-03 11:00;2515.0;-22
2019-01-03 12:00;2599.0;-20
2019-01-03 13:00;2440.0;-20
2019-01-03 14:00;2386.0;-20
2019-01-03 15:00;2240.0;-20
2019-01-03 16:00;2417.0;-21
2019-01-03 17:00;2406.0;-22
2019-01-03 18:00;2360.0;-23
2019-01-03 19:00;2500.0;-23
2019-01-03 20:00;2492.0;-23
2019-01-03 21:00;2517.0;-23
2019-01-03 22:00;2456.0;-23
2019-01-03 23:00;2414.0;-23
2019-01-04 00:00;2468.0;-23
2019-01-04 01:00;2405.0;-23
2019-01-04 02:00;2415.0;-24
2019-01-04 03:00;2388.0;-24
2019-01-04 04:00;2411.0;-24
2019-01-04 05:00;2371.0;-24
2019-01-04 06:00;2409.0;-24
2019-01-04 07:00;2279.0;-24
2019-01-04 08:00;2524.0;-24
2019-01-04 09:00;2438.0;-24
2019-01-04 10:00;2479.0;-24
2019-01-04 11:00;2428.0;-23
2019-01-04 12:00;2486.0;-22
2019-01-04 13:00;2405.0;-22
2019-01-04 14:00;2419.0;-22
2019-01-04 15:00;2359.0;-22
2019-01-04 16:00;2364.0;-22
2019-01-04 17:00;2440.0;-23
2019-01-04 18:00;2428.0;-24
2019-01-04 19:00;2411.0;-24
2019-01-04 20:00;2432.0;-24
2019-01-04 21:00;2406.0;-25
2019-01-04 22:00;2410.0;-25
2019-01-04 23:00;2342.0;-25
2019-01-05 00:00;2431.0;-25
2019-01-05 01:00;2359.0;-25
2019-01-05 02:00;2214.0;-24
2019-01-05 03:00;2343.0;-24
2019-01-05 04:00;2254.0;-24
2019-01-05 05:00;2371.0;-23
2019-01-05 06:00;2354.0;-23
2019-01-05 07:00;2276.0;-22
2019-01-05 08:00;2365.0;-22
2019-01-05 09:00;2347.0;-21
2019-01-05 10:00;2352.0;-20
2019-01-05 11:00;2415.0;-19
2019-01-05 12:00;2351.0;-18
2019-01-05 13:00;2370.0;-17
2019-01-05 14:00;2347.0;-16
2019-01-05 15:00;2279.0;-15
2019-01-05 16:00;2341.0;-16
2019-01-05 17:00;2369.0;-16
2019-01-05 18:00;2400.0;-17
2019-01-05 19:00;2387.0;-16
2019-01-05 20:00;2375.0;-15
2019-01-05 21:00;2360.0;-15
2019-01-05 22:00;2406.0;-15
2019-01-05 23:00;2334.0;-15
2019-01-06 00:00;2305.0;-16
2019-01-06 01:00;2271.0;-16
2019-01-06 02:00;2221.0;-16
2019-01-06 03:00;2262.0;-16
2019-01-06 04:00;2244.0;-16
2019-01-06 05:00;2284.0;-17
2019-01-06 06:00;2284.0;-17
2019-01-06 07:00;2320.0;-17
2019-01-06 08:00;2320.0;-18
2019-01-06 09:00;2338.0;-18
2019-01-06 10:00;2359.0;-17
2019-01-06 11:00;2400.0;-16
2019-01-06 12:00;2356.0;-15
2019-01-06 13:00;2240.0;-15
2019-01-06 14:00;2263.0;-14
2019-01-06 15:00;2321.0;-14
2019-01-06 16:00;2392.0;-15
2019-01-06 17:00;2366.0;-15
2019-01-06 18:00;2407.0;-16
2019-01-06 19:00;2279.0;-16
2019-01-06 20:00;2384.0;-16
2019-01-06 21:00;2337.0;-17
2019-01-06 22:00;2311.0;-16
2019-01-06 23:00;2295.0;-16
2019-01-07 00:00;2352.0;-15
2019-01-07 01:00;2267.0;-15
2019-01-07 02:00;2239.0;-15
2019-01-07 03:00;2240.0;-15
2019-01-07 04:00;2260.0;-15
2019-01-07 05:00;2263.0;-14
2019-01-07 06:00;2268.0;-14
2019-01-07 07:00;2170.0;-14
2019-01-07 08:00;2331.0;-14
2019-01-07 09:00;2298.0;-14
2019-01-07 10:00;2243.0;-13
2019-01-07 11:00;2348.0;-12
2019-01-07 12:00;2406.0;-11
2019-01-07 13:00;2284.0;-10
2019-01-07 14:00;2333.0;-10
2019-01-07 15:00;2219.0;-9
2019-01-07 16:00;2356.0;-10
2019-01-07 17:00;2333.0;-10
2019-01-07 18:00;2370.0;-10
2019-01-07 19:00;2347.0;-11
2019-01-07 20:00;2295.0;-11
2019-01-07 21:00;2233.0;-11
2019-01-07 22:00;2286.0;-11
2019-01-07 23:00;2278.0;-11
2019-01-08 00:00;2227.0;-11
2019-01-08 01:00;2189.0;-11
2019-01-08 02:00;2215.0;-11
2019-01-08 03:00;2181.0;-11
2019-01-08 04:00;2246.0;-11
2019-01-08 05:00;2201.0;-11
2019-01-08 06:00;2193.0;-12
2019-01-08 07:00;2180.0;-12
2019-01-08 08:00;2318.0;-12
2019-01-08 09:00;2258.0;-13
2019-01-08 10:00;2255.0;-12
2019-01-08 11:00;2362.0;-12
2019-01-08 12:00;2333.0;-11
2019-01-08 13:00;2280.0;-11
2019-01-08 14:00;2331.0;-10
2019-01-08 15:00;2276.0;-10
2019-01-08 16:00;2360.0;-11
2019-01-08 17:00;2395.0;-12
2019-01-08 18:00;2322.0;-13
2019-01-08 19:00;2391.0;-13
2019-01-08 20:00;2258.0;-14
2019-01-08 21:00;2209.0;-15
2019-01-08 22:00;2234.0;-14
2019-01-08 23:00;2167.0;-14
2019-01-09 00:00;2227.0;-13
2019-01-09 01:00;2173.0;-13
2019-01-09 02:00;2101.0;-13
2019-01-09 03:00;2146.0;-14
2019-01-09 04:00;2049.0;-14
2019-01-09 05:00;2025.0;-14
2019-01-09 06:00;2121.0;-14
2019-01-09 07:00;2117.0;-12
2019-01-09 08:00;2202.0;-9
2019-01-09 09:00;2197.0;-7
2019-01-09 10:00;2284.0;-6
2019-01-09 11:00;2358.0;-5
2019-01-09 12:00;2328.0;-4
2019-01-09 13:00;2240.0;-4
2019-01-09 14:00;2297.0;-5
2019-01-09 15:00;2197.0;-5
2019-01-09 16:00;2284.0;-6
2019-01-09 17:00;2253.0;-7
2019-01-09 18:00;2396.0;-8
2019-01-09 19:00;2346.0;-9
2019-01-09 20:00;2310.0;-10
2019-01-09 21:00;2242.0;-12
2019-01-09 22:00;2236.0;-12
2019-01-09 23:00;2268.0;-13
2019-01-10 00:00;2219.0;-14
2019-01-10 01:00;2126.0;-15
2019-01-10 02:00;2219.0;-16
2019-01-10 03:00;2197.0;-17
2019-01-10 04:00;2276.0;-17
2019-01-10 05:00;2199.0;-17
2019-01-10 06:00;2240.0;-18
2019-01-10 07:00;2173.0;-18
2019-01-10 08:00;2260.0;-18
2019-01-10 09:00;2237.0;-17
2019-01-10 10:00;2331.0;-17
2019-01-10 11:00;2371.0;-17
2019-01-10 12:00;2306.0;-16
2019-01-10 13:00;2273.0;-16
2019-01-10 14:00;2349.0;-17
2019-01-10 15:00;2271.0;-17
2019-01-10 16:00;2323.0;-18
2019-01-10 17:00;2343.0;-19
2019-01-10 18:00;2443.0;-20
2019-01-10 19:00;2452.0;-21
2019-01-10 20:00;2318.0;-21
2019-01-10 21:00;2311.0;-21
2019-01-10 22:00;2459.0;-22
2019-01-10 23:00;2367.0;-22
2019-01-11 00:00;2307.0;-23
2019-01-11 01:00;2365.0;-23
2019-01-11 02:00;2285.0;-24
2019-01-11 03:00;2338.0;-24
2019-01-11 04:00;2367.0;-24
2019-01-11 05:00;2327.0;-24
2019-01-11 06:00;2315.0;-25
2019-01-11 07:00;2346.0;-25
2019-01-11 08:00;2448.0;-25
2019-01-11 09:00;2426.0;-25
2019-01-11 10:00;2423.0;-24
2019-01-11 11:00;2489.0;-22
2019-01-11 12:00;2481.0;-21
2019-01-11 13:00;2448.0;-20
2019-01-11 14:00;2401.0;-20
2019-01-11 15:00;2345.0;-19
2019-01-11 16:00;2333.0;-20
2019-01-11 17:00;2318.0;-20
2019-01-11 18:00;2370.0;-21
2019-01-11 19:00;2403.0;-21
2019-01-11 20:00;2390.0;-21
2019-01-11 21:00;2346.0;-21
2019-01-11 22:00;2368.0;-21
2019-01-11 23:00;2336.0;-21
2019-01-12 00:00;2339.0;-21
2019-01-12 01:00;2326.0;-21
2019-01-12 02:00;2293.0;-21
2019-01-12 03:00;2311.0;-21
2019-01-12 04:00;2291.0;-21
2019-01-12 05:00;2256.0;-21
2019-01-12 06:00;2369.0;-21
2019-01-12 07:00;2282.0;-22
2019-01-12 08:00;2344.0;-22
2019-01-12 09:00;2329.0;-23
2019-01-12 10:00;2387.0;-21
2019-01-12 11:00;2414.0;-20
2019-01-12 12:00;2423.0;-19
2019-01-12 13:00;2346.0;-18
2019-01-12 14:00;2358.0;-17
2019-01-12 15:00;2328.0;-17
2019-01-12 16:00;2344.0;-17
2019-01-12 17:00;2384.0;-18
2019-01-12 18:00;2364.0;-19
2019-01-12 19:00;2360.0;-18
2019-01-12 20:00;2375.0;-18
2019-01-12 21:00;2365.0;-18
2019-01-12 22:00;2373.0;-18
2019-01-12 23:00;2291.0;-18
2019-01-13 00:00;2351.0;-18
2019-01-13 01:00;2311.0;-18
